Feature,Importance
num__person_age,0.0035175585452068684
num__person_income,0.12599600414236242
num__person_emp_length,0.02114060695754128
num__loan_amnt,0.001599726244251481
num__loan_int_rate,0.1454020327221486
num__loan_percent_income,0.3159603455939202
num__cb_person_cred_hist_length,3.894730947833019e-07
cat__person_home_ownership_MORTGAGE,0.0010297135362102444
cat__person_home_ownership_OTHER,0.0014500889534330207
cat__person_home_ownership_OWN,0.022034274930865693
cat__person_home_ownership_RENT,0.1601218837643946
cat__loan_intent_DEBTCONSOLIDATION,0.025916801446326018
cat__loan_intent_EDUCATION,0.001071828724225605
cat__loan_intent_HOMEIMPROVEMENT,0.01449050861432092
cat__loan_intent_MEDICAL,0.018878351683758506
cat__loan_intent_PERSONAL,0.0001207736786935182
cat__loan_intent_VENTURE,0.004991287332777052
cat__loan_grade_A,0.006057653527978852
cat__loan_grade_B,0.0019585153640896105
cat__loan_grade_C,0.012658373799271675
cat__loan_grade_D,0.09463418041193532
cat__loan_grade_E,0.011195509333128547
cat__loan_grade_F,0.005098351563223974
cat__loan_grade_G,0.004384887123745649
cat__cb_person_default_on_file_N,0.0
cat__cb_person_default_on_file_Y,0.00029035253309553914
